IMG_HORIZEDGES,58147.426271,58147.450018
IMG_HORIZEDGES,58147.450159,58147.473369
IMG_ROT90CLKW,58147.473471,58147.474964
IMG_SHARPEN,58147.475019,58147.494631
IMG_SHARPEN,58147.501620,58147.523966
IMG_BLUR,58147.528638,58147.541404
IMG_SHARPEN,58147.584051,58147.603836
IMG_BLUR,58147.618759,58147.630451
IMG_BLUR,58147.680862,58147.694100
IMG_SHARPEN,58147.705448,58147.727531
IMG_SHARPEN,58147.747922,58147.768021
IMG_HORIZEDGES,58147.768238,58147.790556
IMG_HORIZEDGES,58147.792257,58147.812922
IMG_REGISTER,58147.832981,58147.833739
IMG_BLUR,58147.832673,58147.844556
IMG_REGISTER,58147.894700,58147.894892
IMG_VERTEDGES,58147.880673,58147.900630
IMG_SHARPEN,58147.941990,58147.962722
IMG_VERTEDGES,58147.963153,58147.984544
IMG_HORIZEDGES,58148.008018,58148.028497
IMG_SHARPEN,58148.083153,58148.103923
IMG_HORIZEDGES,58148.173117,58148.193276
IMG_HORIZEDGES,58148.200093,58148.219625
IMG_ROT90CLKW,58148.227143,58148.228660
IMG_REGISTER,58148.462283,58148.462423
IMG_VERTEDGES,58148.543047,58148.563787
IMG_BLUR,58148.590594,58148.602845
IMG_BLUR,58148.602975,58148.615366
IMG_ROT90CLKW,58148.615498,58148.616795
IMG_REGISTER,58148.734836,58148.735210
IMG_VERTEDGES,58148.733611,58148.754630
IMG_SHARPEN,58148.806177,58148.825288
IMG_HORIZEDGES,58148.905270,58148.931596
IMG_BLUR,58148.931738,58148.945396
IMG_REGISTER,58148.957107,58148.957801
IMG_REGISTER,58149.000255,58149.000964
IMG_VERTEDGES,58149.191052,58149.210201
IMG_HORIZEDGES,58149.225291,58149.246262
IMG_HORIZEDGES,58149.246462,58149.266272
IMG_REGISTER,58149.418880,58149.419459
IMG_SHARPEN,58149.567341,58149.591678
IMG_REGISTER,58149.681509,58149.681890
IMG_VERTEDGES,58149.744293,58149.762966
IMG_VERTEDGES,58149.775955,58149.795983
IMG_ROT90CLKW,58149.907799,58149.908953
IMG_VERTEDGES,58150.025515,58150.046373
IMG_REGISTER,58150.053088,58150.053274
IMG_BLUR,58150.065564,58150.078516
IMG_BLUR,58150.151566,58150.163393
IMG_SHARPEN,58150.224599,58150.244249
IMG_HORIZEDGES,58150.244529,58150.264521
IMG_VERTEDGES,58150.278584,58150.297633
IMG_SHARPEN,58150.297921,58150.317665
IMG_ROT90CLKW,58150.366977,58150.369348
IMG_VERTEDGES,58150.377826,58150.400046
IMG_ROT90CLKW,58150.444890,58150.446342
IMG_SHARPEN,58150.531165,58150.550879
IMG_ROT90CLKW,58150.551340,58150.553076
IMG_ROT90CLKW,58150.553126,58150.554458
IMG_BLUR,58150.641928,58150.654301
IMG_SHARPEN,58150.654475,58150.674723
IMG_ROT90CLKW,58150.760690,58150.761971
IMG_HORIZEDGES,58150.842107,58150.861235
IMG_ROT90CLKW,58150.861429,58150.862573
IMG_ROT90CLKW,58150.890110,58150.891249
IMG_SHARPEN,58150.891393,58150.912016
IMG_ROT90CLKW,58150.927667,58150.928919
IMG_SHARPEN,58151.001348,58151.023005
IMG_VERTEDGES,58151.023190,58151.043591
IMG_VERTEDGES,58151.043739,58151.063686
IMG_ROT90CLKW,58151.111142,58151.112316
IMG_REGISTER,58151.113018,58151.113226
IMG_ROT90CLKW,58151.135381,58151.136947
IMG_REGISTER,58151.149456,58151.150320
IMG_VERTEDGES,58151.137373,58151.156646
IMG_SHARPEN,58151.156671,58151.176634
IMG_BLUR,58151.190187,58151.200456
IMG_SHARPEN,58151.277205,58151.296721
IMG_ROT90CLKW,58151.320957,58151.322597
IMG_SHARPEN,58151.354575,58151.372791
IMG_HORIZEDGES,58151.444208,58151.463793
IMG_REGISTER,58151.468942,58151.469316
IMG_SHARPEN,58151.518726,58151.536371
IMG_BLUR,58151.536496,58151.547819
IMG_HORIZEDGES,58151.547986,58151.566702
IMG_VERTEDGES,58151.575938,58151.594517
IMG_SHARPEN,58151.639970,58151.659106
IMG_VERTEDGES,58151.676804,58151.695411
IMG_SHARPEN,58151.710690,58151.729295
IMG_SHARPEN,58151.736051,58151.754974
IMG_SHARPEN,58151.792554,58151.811001
IMG_BLUR,58151.815115,58151.826974
IMG_ROT90CLKW,58151.872425,58151.873636
IMG_SHARPEN,58151.875269,58151.894134
IMG_REGISTER,58151.973797,58151.973945
IMG_VERTEDGES,58151.960961,58151.980525
IMG_BLUR,58151.980554,58151.991151
IMG_BLUR,58151.991182,58152.001256
IMG_BLUR,58152.040640,58152.052076
IMG_HORIZEDGES,58152.096363,58152.115077
IMG_BLUR,58152.115260,58152.126205
IMG_HORIZEDGES,58152.155530,58152.174281
IMG_BLUR,58152.174464,58152.184872
IMG_REGISTER,58152.214322,58152.214669
IMG_ROT90CLKW,58152.288566,58152.290094
IMG_REGISTER,58152.309094,58152.309293
IMG_VERTEDGES,58152.333379,58152.352585
IMG_BLUR,58152.352794,58152.366784
IMG_ROT90CLKW,58152.372594,58152.374390
IMG_VERTEDGES,58152.401826,58152.420385
IMG_REGISTER,58152.427043,58152.427693
IMG_SHARPEN,58152.487720,58152.512758
IMG_VERTEDGES,58152.512921,58152.532185
IMG_REGISTER,58152.532205,58152.532405
IMG_BLUR,58152.563673,58152.574713
IMG_VERTEDGES,58152.574881,58152.595782
IMG_HORIZEDGES,58152.619043,58152.638125
IMG_REGISTER,58152.701176,58152.701348
IMG_HORIZEDGES,58152.699534,58152.719588
IMG_ROT90CLKW,58152.830496,58152.831661
IMG_SHARPEN,58152.856538,58152.879489
IMG_BLUR,58152.885464,58152.896568
IMG_REGISTER,58152.949514,58152.949700
IMG_HORIZEDGES,58153.006759,58153.024933
IMG_ROT90CLKW,58153.066285,58153.067457
IMG_VERTEDGES,58153.090675,58153.109786
IMG_SHARPEN,58153.178738,58153.198395
IMG_BLUR,58153.240914,58153.252472
IMG_VERTEDGES,58153.277733,58153.296770
IMG_VERTEDGES,58153.350990,58153.369018
IMG_ROT90CLKW,58153.369139,58153.370573
IMG_ROT90CLKW,58153.397456,58153.398481
