R62:54722.984963,0.136671,54722.985102,54723.728853,54723.865525
R63:54723.218730,0.024160,54723.218865,54723.865568,54723.889728
R64:54723.283903,0.022996,54723.284004,54723.890359,54723.913383
R65:54723.362284,0.013215,54723.362406,54723.913406,54723.926622
R66:54723.382555,0.014013,54723.403209,54723.926723,54723.940737
R67:54723.431808,0.065866,54723.431850,54723.940801,54724.006668
R68:54723.441908,0.078866,54723.441975,54724.006727,54724.085594
R69:54723.449749,0.068339,54723.457407,54724.085658,54724.153997
R70:54723.460294,0.149891,54723.475844,54724.154056,54724.303948
R71:54723.465363,0.036862,54723.475846,54724.303981,54724.340843
R72:54723.468845,0.013726,54723.475848,54724.340895,54724.354622
R73:54723.479713,0.065961,54723.488713,54724.354651,54724.420612
R74:54723.569131,0.171180,54723.569242,54724.420670,54724.591851
R75:54723.629324,0.071301,54723.629476,54724.591929,54724.663231
R76:54723.686842,0.007246,54723.686900,54724.663282,54724.670528
R77:54723.692872,0.004073,54723.692980,54724.670553,54724.674627
R78:54723.734227,0.011449,54723.734339,54724.674647,54724.686097
R79:54723.738480,0.085650,54723.775135,54724.686124,54724.771775
R80:54723.773106,0.070444,54723.775197,54724.771839,54724.842287
R81:54723.820682,0.008587,54723.820782,54724.842346,54724.850935
R82:54723.823862,0.011428,54723.823955,54724.850972,54724.862401
R83:54724.488145,0.006703,54724.488320,54724.862451,54724.869161
R84:54724.611014,0.002779,54724.611236,54724.869205,54724.871984
R85:54724.951348,0.003754,54724.951520,54724.951557,54724.955312
R86:54725.065056,0.128242,54725.065147,54725.065160,54725.193404
R87:54725.065386,0.009945,54725.106683,54725.193464,54725.203410
R88:54725.115523,0.024854,54725.115599,54725.203446,54725.228300
R89:54725.125525,0.085655,54725.125694,54725.228366,54725.314022
R90:54725.274380,0.040202,54725.274468,54725.314113,54725.354316
R91:54725.299327,0.030127,54725.299484,54725.354358,54725.384485
R92:54725.347822,0.005248,54725.347930,54725.384515,54725.389764
R93:54725.412550,0.070795,54725.413072,54725.413080,54725.483876
R94:54725.454719,0.242864,54725.454803,54725.483904,54725.726770
R95:54725.474994,0.105029,54725.475115,54725.726870,54725.831899
R96:54725.522940,0.049566,54725.523109,54725.831940,54725.881506
R97:54725.599606,0.068877,54725.599722,54725.881561,54725.950439
R98:54725.601731,0.129765,54725.601816,54725.950529,54726.080295
R99:54725.701336,0.088904,54725.701459,54726.080365,54726.169270
R100:54725.816778,0.068092,54725.816884,54726.169356,54726.237449
R101:54726.034026,0.205511,54726.034278,54726.237521,54726.443033
R102:54726.165761,0.034384,54726.165819,54726.443116,54726.477582
R103:54726.228344,0.088601,54726.228397,54726.477617,54726.566219
R104:54726.239505,0.004006,54726.239556,54726.566281,54726.570293
R105:54726.362279,0.014254,54726.362316,54726.570345,54726.584600
R106:54726.420820,0.013012,54726.420869,54726.584667,54726.597680
R107:54726.476511,0.019053,54726.476556,54726.597733,54726.616787
R108:54726.544437,0.013161,54726.544518,54726.616816,54726.629978
R109:54726.567147,0.050130,54726.567166,54726.630002,54726.680133
R110:54726.571558,0.052653,54726.571585,54726.680161,54726.732815
R111:54726.586049,0.177832,54726.586089,54726.732876,54726.910710
R112:54726.626066,0.039495,54726.626153,54726.910768,54726.950264
R113:54726.644653,0.006011,54726.644705,54726.950308,54726.956338
R114:54726.715502,0.044891,54726.715712,54726.956359,54727.001250
R115:54726.751515,0.029975,54726.751609,54727.001296,54727.031272
R116:54726.912430,0.094090,54726.912464,54727.031290,54727.125381
R117:54726.935445,0.000162,54726.935496,54727.125439,54727.125601
R118:54726.967405,0.045625,54726.967449,54727.125618,54727.171243
R119:54726.991161,0.013322,54726.991247,54727.171298,54727.184621
R120:54727.090937,0.032981,54727.091136,54727.184641,54727.217623
R121:54727.153873,0.018189,54727.153913,54727.217649,54727.235839
R122:54727.190780,0.010079,54727.190807,54727.235898,54727.245977
R123:54727.260044,0.002086,54727.260087,54727.260244,54727.262331
R124:54727.314233,0.059534,54727.314269,54727.314380,54727.373914
R125:54727.344048,0.050756,54727.355140,54727.373950,54727.424707
R126:54727.406391,0.010205,54727.406440,54727.425436,54727.435642
R127:54727.430643,0.049330,54727.430686,54727.435687,54727.485017
R128:54727.483500,0.019903,54727.483528,54727.485091,54727.504994
R129:54727.556532,0.011296,54727.556586,54727.556691,54727.567988
R130:54727.631623,0.057721,54727.631667,54727.632320,54727.690041
R131:54727.772745,0.014871,54727.772803,54727.773419,54727.788577
R132:54727.831747,0.004586,54727.831803,54727.832460,54727.837063
R133:54727.874172,0.104935,54727.874238,54727.875069,54727.982506
R134:54727.891105,0.004921,54727.915152,54727.982576,54727.987498
