R108:38619.033144,0.266376,38619.033296,1697497253.557841,38619.604053
R109:38619.186680,0.268130,38619.186933,1697497253.824280,38619.876496
R110:38619.286259,0.225168,38619.286483,1697497254.096723,38620.101720
R111:38619.817890,0.169926,38619.818010,1697497254.321947,38620.271757
R112:38620.196836,0.164545,38620.196936,1697497254.492008,38620.436387
R113:38620.308466,0.287272,38620.308602,1697497254.656617,38620.723750
R114:38620.375246,0.169506,38620.375361,1697497254.943989,38620.893325
R115:38620.400749,0.262467,38620.400945,1697497255.113550,38621.155844
R116:38620.476514,0.184057,38620.476715,1697497255.376651,38621.340536
R117:38620.600578,0.203267,38620.600762,1697497255.560760,38621.543867
R118:38620.669331,0.271167,38620.669537,1697497255.764094,38621.815100
R119:38620.818044,0.215056,38620.818159,1697497256.035327,38622.030279
R120:38621.036560,0.231286,38621.036629,1697497256.250507,38622.261620
R121:38621.217949,0.161493,38621.218067,1697497256.481844,38622.423240
R122:38621.329538,0.247120,38621.329628,1697497256.643466,38622.670422
R123:38621.620166,0.215262,38621.620328,1697497256.890648,38622.885747
R124:38621.712054,0.233143,38621.712236,1697497257.105974,38623.118953
R125:38621.829780,0.258839,38621.829855,1697497257.339181,38623.377856
R126:38622.160797,0.238530,38622.160987,1697497257.598082,38623.616435
R127:38622.606870,0.197825,38622.607050,1697497257.836661,38623.814317
R128:38622.739559,0.240335,38622.739728,1697497258.034545,38624.054711
R129:38622.792386,0.120471,38622.792508,1697497258.274940,38624.175293
R130:38622.814441,0.216515,38622.814528,1697497258.395518,38624.391862
R131:38622.894418,0.314989,38622.894509,1697497258.612090,38624.706910
R132:38622.925987,0.187409,38622.926182,1697497258.927139,38624.894385
R133:38623.062158,0.112684,38623.062257,1697497259.114610,38625.007131
R134:38623.192388,0.153343,38623.192449,1697497259.227358,38625.160521
R135:38623.384586,0.258892,38623.384641,1697497259.380746,38625.419484
R136:38623.484575,0.127234,38623.484665,1697497259.639710,38625.546780
R137:38623.628594,0.159646,38623.628725,1697497259.767005,38625.706485
R138:38623.794583,0.227631,38623.794734,1697497259.926711,38625.934168
R139:38623.853851,0.209643,38623.854032,1697497260.154392,38626.143888
R140:38623.877172,0.239829,38623.894424,1697497260.364118,38626.383790
R141:38624.023379,0.251626,38624.023437,1697497260.604018,38626.635504
R142:38624.099872,0.182657,38624.099943,1697497260.855729,38626.818216
